Neo4j 3.5.14,SF1(0.798G),SF10(8.3G),SF100(86G),,TigerGraph 2.5.1,SF1,SF10,SF100,,LightGraph  1.4.4,SF1,SF10,SF100,,AgensGraph 2.1.2,SF1,SF10,SF100,,,,,
load time(s),24.213,135.335,1352.009,,load time(s),55.552,407.058,4604.29,,load time(s),42.1813,252.712,2252.31,,load time(s),487.73,6047,81659,,,,,
index time(s),7.534,75.615,621.45,,index time(s),,,,,preprocess time(s),7.131,77.206,1023.33,,index time(s),29.54,309.04,3314.22,,,,,
all time(s),31.747,210.95,1973.459,,all time(s),,,,,all time(s),49.3123,329.918,3275.64,,all time(s),517.27,6356.04,84973.22,,,,,
data Storage(G),1.3,14,131,,data Storage(G),0.53,5.24,53,,data Storage(G),1.1,11,106,,data Storage(G),3.2,34,332,,,,,
index Storage(G),0.21,2.1,20,,index Storage(G),,,,,index Storage(G),,,,,index Storage(G),0.4,2.4,27,,,,,
all Storage(G),1.51,16.1,151,,all Storage(G),,,,,all Storage(G),SF1,SF10,SF100,,all Storage(G),3.6,36.4,359,,,,,
IU_1,0.329989,0.298833,0.302148,,IU_1,0.00947,0.009463,0.009773,,IU_1,0.003173,0.003276,0.003663,,IU_1,0.014808,0.015995,0.017464,,,,,
IU_2,0.004617,0.004451,0.004133,,IU_2,0.008135,0.00981,0.010355,,IU_2,0.00056,0.000625,0.000983,,IU_2,0.000463,0.000524,0.000542,,,,,
IU_3,0.004499,0.004486,0.004447,,IU_3,0.00813,0.008548,0.010964,,IU_3,0.000608,0.000615,0.001016,,IU_3,0.000506,0.000482,0.000533,,,,,
IU_4,0.030503,0.040556,0.03841,,IU_4,0.008545,0.008516,0.008902,,IU_4,0.001023,0.001071,0.001071,,IU_4,0.008465,0.007944,0.009753,,,,,
IU_5,0.003781,0.005893,0.004754,,IU_5,0.007858,0.008236,0.00865,,IU_5,0.000635,0.000614,0.000645,,IU_5,0.000529,0.000565,0.000586,,,,,
IU_6,0.005019,0.016096,0.012012,,IU_6,0.008379,0.008994,0.009722,,IU_6,0.001387,0.001578,0.001522,,IU_6,0.002076,0.003525,0.002988,,,,,
IU_7,0.027955,0.026096,0.021787,,IU_7,0.008623,0.008991,0.010789,,IU_7,0.001477,0.001484,0.001854,,IU_7,0.004281,0.004365,0.005252,,,,,
IU_8,0.001144,0.001131,0.001279,,IU_8,0.008175,0.008452,0.009399,,IU_8,0.000688,0.000559,0.000614,,IU_8,0.000423,0.000499,0.000497,,,,,
IS_1,0.001049,0.001449,0.001603,,IS_1,0.003469,0.003267,0.003645,,IS_1,0.000595,0.000612,0.000659,,IS_1,0.001831,0.001699,0.001851,,,,,
IS_2,0.018487,0.033109,0.025797,,IS_2,0.010904,0.011088,0.009909,,IS_2,0.008904,0.015957,0.016004,,IS_2,0.010005,0.021402,0.026203,,,,,
IS_3,0.008976,0.01326,0.019492,,IS_3,0.007202,0.008314,0.011029,,IS_3,0.001682,0.002784,0.004479,,IS_3,0.004784,0.055005,0.220523,,,,,
IS_4,0.001329,0.001112,0.000961,,IS_4,0.004008,0.003736,0.004057,,IS_4,0.000525,0.000568,0.000607,,IS_4,0.000333,0.000341,0.000339,,,,,
IS_5,0.002362,0.001701,0.001047,,IS_5,0.004241,0.003832,0.004192,,IS_5,0.000449,0.000382,0.000426,,IS_5,0.001751,0.002789,0.002791,,,,,
IS_6,0.001329,0.002375,0.001342,,IS_6,0.00466,0.00407,0.004414,,IS_6,0.000672,0.000653,0.000699,,IS_6,0.013113,0.014611,0.015399,,,,,
IS_7,0.002819,0.003159,0.003299,,IS_7,0.00604,0.006006,0.006823,,IS_7,0.001454,0.001705,0.002027,,IS_7,0.014469,0.018536,0.018539,,,,,
IC_1,0.5953,2.35952,10.22043,,IC_1,0.0321,0.12192,0.56294,,IC_1,0.057897,0.361904,2.479148,,IC_1,0.31922,1.1682,8.25529,,,,,
IC_2,0.0701,0.22487,0.24107,,IC_2,0.01442,0.03443,0.04459,,IC_2,0.010631,0.016298,0.022403,,IC_2,0.16352,0.47183,0.46305,,,,,
IC_3,2.0057,24.05899,616.54341,,IC_3,0.05942,0.37391,1.31527,,IC_3,0.009926,0.046742,0.372736,,IC_3,0.34576,7.94517,63.81972,,,,,
